GIACR,German Orthography 1,German Orthography 2,Formats,Notes,Source
Achelpohl,Achelpohl,,1,,
Ackermann,Ackermann,,1,,
Adem,Adem,,1,,
Aden,Aden,,1,,
Ahlbrand,Ahlbrand,,1,,
Ahlemeier,Ahlemeier,,1,,
Ahner,Ahner,,1,,
Ahrens,Ahrens,,1,,
Aichele,Aichele,,1,,
Albrecht,Albrecht,,1,,
Alewel,Alewel,,1,,
Allenderfer,Allenderfer,,1,,
Altenhoehner,Altenhöhner,,1,,
Althoff,Althoff,,1,,
Anderson,Anderson,,1,,
Andrahen,Andrahen,,1,,
Angerer,Angerer,,1,,
Appel,Appel,,1,,
Arkebauer,Arkebauer,,1,,
Armbruester,Armbrüster,,1,,
Armgart,Armgart,,1,,
Armsmeier,Armsmeier,,1,,
Aufderheide,Aufderheide,,1,,
Backhaus,Backhaus,,1,,
Baehner,Bähner,,1,,
Bahren,Bahren,,1,,
Baierlein,Baierlein,,1,,
Ballmeier,Ballmeier,,1,,
Bardeleben,Bardeleben,,1,,
Barklage,Barklage,,1,,
Barmeier,Barmeier,,1,,
Barth,Barth,,1,,
Bauer,Bauer,,1,,
Baujeu,Baujeu,,1,,
Baumann,Baumann,,1,,
Baumbach,Baumbach,,1,,
Baumeister,Baumeister,,1,,
Baurichler,Baurichler,,1,,
Bauswein,Bauswein,,1,,
Bechtler,Bechtler,,1,,
Beck,Beck,,1,,
Becker,Becker,,1,,
Beckmann,Beckmann,,1,,
Behmer,Behmer,,1,,
Behn,Behn,,1,,
Behrens,Behrens,,1,,
Behrmann,Behrmann,,1,,
Beimdiek,Beimdiek,,1,,
Beimer,Beimer,,1,,
Bekemeier,Bekemeier,,1,,
Beldsmeier,Beldsmeier,,1,,
Bemer,Bemer,,1,,
Bemerkempen,Bemerkempen,,1,,
Bende,Bende,,1,,
Bender,Bender,,1,,
Benner,Benner,,1,,
Berg,Berg,,1,,
Bergmann,Bergmann,,1,,
Berkham,Berkham,,1,,
Bernhard,Bernhard,,1,,
Berning,Berning,,1,,
Bethke,Bethke,,1,,
Beuer,Beuer,,1,,
Billen,Billen,,1,,
Bindebeute,Bindebeute,,1,,
Birkmann,Birkmann,,1,,
Bischoff,Bischoff,,1,,
Bisker,Bisker,,1,,
Bitter,Bitter,,1,,
Bitterberg,Bitterberg,,1,,
Blake,Blake,,1,,
Blank,Blank,,1,,
Blomenkamp,Blomenkamp,,1,,
Blume,Blume,,1,,
Blummeier,Blummeier,,1,,
Bockelmann,Bockelmann,,1,,
Bodemann,Bodemann,,1,,
Boehme,Böhme,,1,,
Boehmer,Böhmer,,1,,
Boening,Böning,,1,,
Boettcher,Böttcher,,1,,
Boetting,Bötting,,1,,
Bogenpohl,Bogenpohl,,1,,
Bohling,Bohling,,1,,
Bohn,Bohn,,1,,
Bohner,Bohner,,1,,
Boismann,Boismann,,1,,
Bollmann,Bollmann,,1,,
Borbein,Borbein,,1,,
Borcherding,Borcherding,,1,,
Borgelds,Borgelds,,1,,
Borges,Borges,,1,,
Borgmann,Borgmann,,1,,
Borgmeier,Borgmeier,,1,,
Born,Born,,1,,
Borse,Borse,,1,,
Bosselmann,Bosselmann,Boßelmann,2,,
Bragen,Bragen,,1,,
Brakmann,Brakmann,,1,,
Brand,Brand,,1,,
Brandau,Brandau,,1,,
Brande,Brande,,1,,
Brandes,Brandes,,1,,
Brandt,Brandt,,1,,
Brauksicker,Brauksicker,,1,,
Braun,Braun,,1,,
Braunmueller,Braunmüller,,1,Taken from Wikipedia.org,Link
Braunsch,Braunsch,,1,,
Brede,Brede,,1,,
Bredemeier,Bredemeier,,1,,
Bredenstiner,Bredenstiner,,1,,
Breiting,Breiting,,1,,
Breitkopf,Breitkopf,,1,,
Breitschule,Breitschule,,1,,
Brinkhof,Brinkhof,,1,,
Brinkmann,Brinkmann,,1,,
Brinkmeier,Brinkmeier,,1,,
Britschuh,Britschuh,,1,,
Brockschmidt,Brockschmidt,,1,,
Brogle,Brogle,,1,,
Brokmeier,Brokmeier,,1,,
Bruder,Bruder,,1,,
Brueggemann,Brüggemann,,1,,
Bruening,Brüning,,1,,
Brutschi,Brutschi,,1,,
Buchda,Buchda,,1,,
Buchta,Buchta,,1,,
Budde,Budde,,1,,
Buenger,Bünger,,1,,
Bull,Bull,,1,,
Bullert,Bullert,,1,,
Bullinger,Bullinger,,1,,
Bunger,Bunger,,1,,
Burcheding,Burcheding,,1,,
Burmeister,Burmeister,,1,,
Buschmann,Buschmann,,1,,
Carstens,Carstens,,1,,
Christmann,Christmann,,1,,
Christoph,Christoph,,1,,
Clamus,Clamus,,1,,
Claus,Claus,,1,,
Conrad,Conrad,,1,,
Cornelius,Cornelius,,1,,
Coy,Coy,,1,,
Dammmeier,Dammmeier,,1,,
Dassler,"Dassler, Daßler",,1,,
Demme,Demme,,1,,
Depen,Depen,,1,,
Depenthal,Depenthal,,1,,
Detert,Detert,,1,,
Dickhardt,Dickhardt,,1,,
Dickmeier,Dickmeier,,1,,
Didgemeier,Didgemeier,,1,,
Diemann,Diemann,,1,,
Diemer,Diemer,,1,,
Dierker,Dierker,,1,,
Dierking,Dierking,,1,,
Dieterich,Dieterich,,1,,
Dietrich,Dietrich,,1,,
Dillik,Dillik,,1,,
Doerfler,Dörfler,,1,,
Doering,Döring,,1,,
Doorn,Doorn,,1,,
Dorge,Dorge,,1,,
Dornseif,Dornseif,,1,,
Dremann,Dremann,,1,,
Dres,Dres,,1,,
Dressing,Dreßing,,1,,
Drosing,Drosing,,1,,
Droste,Droste,,1,,
Druger,Druger,,1,,
Duenkel,Dünkel,,1,,
Dulli,Dulli,,1,,
Dunkmann,Dunkmann,,1,,
Ebeling,Ebeling,,1,,
Eberhard,Eberhard,,1,,
Ebers,Ebers,,1,,
Eggers,Eggers,,1,,
Eigenbrod,Eigenbrod,,1,,
Elbrecht,Elbrecht,,1,,
Elisabeth,Elisabeth,,1,,
Endebrock,Endebrock,,1,,
Engelmann,Engelmann,,1,,
Englbrecht,Englbrecht,,1,,
Erbe,Erbe,,1,,
Erk,Erk,,1,,
Ermentraut,Ermentraut,,1,,
Ernst,Ernst,,1,,
Esser,"Esser, Eßer",,1,,
Ewald,Ewald,,1,,
Faben,Faben,,1,,
Fahlbosch,Fahlbosch,,1,,
Fahrenbach,Fahrenbach,,1,,
Fahrtmann,Fahrtmann,,1,,
Faig,Faig,,1,,
Fangmann,Fangmann,,1,,
Fathmann,Fathmann,,1,,
Faust,Faust,,1,,
Feder,Feder,,1,,
Fick,Fick,,1,,
Fischer,Fischer,,1,,
Fleck,Fleck,,1,,
Fleer,Fleer,,1,,
Flehr,Flehr,,1,,
Fleischmann,Fleischmann,,1,,
Flesch,Flesch,,1,,
Flor,Flor,,1,,
Flottmann,Flottmann,,1,,
Foehr,Föhr,,1,,
Foelker,Fölker,,1,,
Frai,Frai,,1,,
Franke,Franke,,1,,
Fray,Fray,,1,,
Frecksmeier,Frecksmeier,,1,,
Fredemann,Fredemann,,1,,
Frederking,Frederking,,1,,
Frei,Frei,,1,,
Freischlag,Freischlag,,1,,
Frerking,Frerking,,1,,
Freund,Freund,,1,,
Frey,Frey,,1,,
Friedrich,Friedrich,,1,,
Fritsch,Fritsch,,1,,
Froehlich,Fröhlich,,1,,
Frohberg,Frohberg,,1,,
Fruechtnicht,Früchtnicht,,1,,
Fuerhof,Fürhof,,1,,
Fulte,Fulte,,1,,
Funk,Funk,,1,,
Gabriel,Gabriel,,1,,
Garmontt,Garmontt,,1,,
Gast,Gast,,1,,
Gebhardt,Gebhardt,,1,,
Gehner,Gehner,,1,,
Gehners,Gehners,,1,,
Gehrings,Gehrings,,1,,
Geller,Geller,,1,,
Gerbig,Gerbig,,1,,
Gerhard,Gerhard,,1,,
Gerken,Gerken,,1,,
Germer,Germer,,1,,
Gickens,Gickens,,1,,
Gieselmann,Gieselmann,,1,,
Giesemann,Giesemann,,1,,
Giesselmann,Gießelmann,,1,,
Gilbert,Gilbert,,1,,
Gildmeier,Gildmeier,,1,,
Glids,Glids,,1,,
Gliesemann,Gliesemann,,1,,
Goebel,Göbel,,1,,
Goehring,Göhring,,1,,
Goessling,Gößling,,1,,
Goethlin,Göthlin,,1,,
Goettjen,Göttjen,,1,,
Gollwitzer,Gollwitzer,,1,,
Gorath,Gorath,,1,,
Gorg,Gorg,,1,,
Grabemann,Grabemann,,1,,
Graf,Graf,,1,,
Grager,Grager,,1,,
Grammann,Grammann,,1,,
Grannemann,Grannemann,,1,,
Gratz,Gratz,,1,,
Grau,Grau,,1,,
Grauben,Grauben,,1,,
Grebe,Grebe,,1,,
Gredy,Gredy,,1,,
Grimm,Grimm,,1,,
Gronefeld,Gronefeld,,1,,
Groppel,Groppel,,1,,
Grosse,Große,,1,,
Grote,Grote,,1,,
Grueling,Grüling,,1,,
Gruenkemeier,Grünkemeier,,1,,
Gruner,Gruner,,1,,
Guenther,Günther,,1,,
Guesstfeld,Güßfeld,,1,,
Haas,Haas,,1,,
Haas,Haas,,1,,
Haas,Haas,,1,,
Haeckel,Häckel,,1,,
Haehnlein,Hähnlein,,1,,
Haendel,Händel,,1,,
Haesemeyer,Häsemeyer,,1,,
Haeublein,Häublein,,1,,
Hagedorn,Hagedorn,,1,,
Hagemann,Hagemann,,1,,
Hahn,Hahn,,1,,
Hahn,Hahn,,1,,
Hake,Hake,,1,,
Hakemann,Hakemann,,1,,
Hallemeier,Hallemeier,,1,,
Hallenberg,Hallenberg,,1,,
Hamann,Hamann,,1,,
Hamfelder,Hamfelder,,1,,
Hammer,Hammer,,1,,
Hammersen,Hammersen,,1,,
Hammez,Hammez,,1,,
Hampe,Hampe,,1,,
Haneisen,Haneisen,,1,,
Hannfelder,Hannfelder,,1,,
Hannsen,Hannsen,,1,,
Hansjuergen,Hansjürgen,,1,,
Harless,Harleß,,1,,
Harmeren,Harmeren,,1,,
Harms,Harms,,1,,
Harnagel,Harnagel,,1,,
Harre,Harre,,1,,
Hartung,Hartung,,1,,
Hassfurther,Haßfurther,,1,,
Hattmann,Hattmann,,1,,
Haueisen,Haueisen,,1,,
Hauser,Hauser,,1,,
Hebern,Hebern,,1,,
Heddrich,Heddrich,,1,,
Hegemaier,Hegemaier,,1,,
Hehmann,Hehmann,,1,,
Hehnholz,Hehnholz,,1,,
Heid,Heid,,1,,
Heidenreich,Heidenreich,,1,,
Heidland,Heidland,,1,,
Heidland,Heidland,,1,,
Heim,Heim,,1,,
Heimbrok,Heimbrok,,1,,
Heine,Heine,,1,,
Heinecke,Heinecke,,1,,
Heineke,Heineke,,1,,
Heinemann,Heinemann,,1,,
Heinig,Heinig,,1,,
Heinkel,Heinkel,,1,,
Heintzemann,Heintzemann,,1,,
Heinz,Heinz,,1,,
Heinz,Heinz,,1,,
Heischke,Heischke,,1,,
Held,Held,,1,,
Hellge,Hellge,,1,,
Henke,Henke,,1,,
Henn,Henn,,1,,
Henning,Henning,,1,,
Hense,Hense,,1,,
Hensick,Hensick,,1,,
Hepple,Hepple,,1,,
Herget,Herget,,1,,
Hermann,Hermann,,1,,
Hermuting,Hermuting,,1,,
Herold,Herold,,1,,
Hertaus,Hertaus,,1,,
Herwig,Herwig,,1,,
Heugle,Heugle,,1,,
Heusner,Heusner,,1,,
Hinrichs,Hinrichs,,1,,
Hintebrock,Hintebrock,,1,,
Hirschmann,Hirschmann,,1,,
Hiske,Hiske,,1,,
Hoehn,Höhn,,1,,
Hoehnefeld,Höhnefeld,,1,,
Hoelzel,Hölzel,,1,,
Hoepfner,Höpfner,,1,,
Hoermann,Hörmann,,1,,
Hoffman,Hoffman,,1,,
Hoffmann,Hoffmann,,1,,
Hogendahl,Hogendahl,,1,,
Hohlt,Hohlt,,1,,
Holl,Holl,,1,,
Hollaender,Holländer,,1,,
Holle,Holle,,1,,
Holz,Holz,,1,,
Holzkamp,Holzkamp,,1,,
Hoppe,Hoppe,,1,,
Horstmann,Horstmann,,1,,
Horter,Horter,,1,,
Hottes,Hottes,,1,,
Huber,Huber,,1,,
Huecker,Hücker,,1,,
Huis,Huis,,1,,
Huntebrinker,Huntebrinker,,1,,
Husemann,Husemann,,1,,
Huth,Huth,,1,,
Isensee,Isensee,,1,,
Jaeck,Jäck,,1,,
Jaeger,Jäger,,1,,
Jahreis,Jahreis,,1,,
Johannes,Johannes,,1,,
Juch,Juch,,1,,
Jung,Jung,,1,,
Kaemper,Kämpfer,,1,,
Kaesemann,Käsemann,,1,,
Kahl,Kahl,,1,,
Kahlbaum,Kahlbaum,,1,,
Kahle,Kahle,,1,,
Kaiser,Kaiser,,1,,
Kalb,Kalb,,1,,
Kallowe,Kallowe,,1,,
Kaltwasser,Kaltwasser,,1,,
Kamp,Kamp,,1,,
Kansteiner,Kansteiner,,1,,
Kassel,Kassel,,1,,
Kasten,Kasten,,1,,
Kastrup,Kastrup,,1,,
Katzung,Katzung,,1,,
Kaupmann,Kaupmann,,1,,
Kehm,Kehm,,1,,
Keil,Keil,,1,,
Kemper,Kemper,,1,,
Kerding,Kerding,,1,,
Kerls,Kerls,,1,,
Kern,Kern,,1,,
Kesemann,Kesemann,,1,,
Kesten,Kesten,,1,,
Keston,Keston,,1,,
Kettler,Kettler,,1,,
Kiefner,Kiefner,,1,,
Kienker,Kienker,,1,,
Kienzle,Kienzle,,1,,
Kiesling,Kiesling,,1,,
Kimmel,Kimmel,,1,,
Kindermann,Kindermann,,1,,
Klaus,Klaus,,1,,
Klein,Klein,,1,,
Kleinen,Kleinen,,1,,
Kleinschmidt,Kleinschmidt,,1,,
Klie,Klie,,1,,
Kliern,Kliern,,1,,
Klingelhoefer,Klingelhöfer,,1,,
Klos,Klos,,1,,
Kluge,Kluge,,1,,
Klute,Klute,,1,,
Knapp,Knapp,,1,,
Knecht,Knecht,,1,,
Knemeier,Knemeier,,1,,
Kniess,Knieß,,1,,
Knollmann,Knollmann,,1,,
Kobusch,Kobusch,,1,,
Koch,Koch,,1,,
Koch,Koch,,1,,
Koecher,Köcher,,1,,
Koehler,Köhler,,1,,
Koelling,Kölling,,1,,
Koenemann,Könemann,,1,,
Koenig,König,,1,,
Koeppen,Köppen,,1,,
Koerzdoerfer,Körzdörfer,,1,,
Koester,Köster,,1,,
Koetz,Kötz,,1,,
Kohlmeier,Kohlmeier,,1,,
Kohlz,Kohlz,,1,,
Kohnle,Kohnle,,1,,
Kohring,Kohring,,1,,
Kohtz,Kohtz,,1,,
Kolass,Kolaß,,1,,
Konitz,Konitz,,1,,
Korden,Korden,,1,,
Korfhage,Korfhage,,1,,
Kortmeyer,Kortmeyer,,1,,
Kostete,Kostete,,1,,
Kostfeld,Kostfeld,,1,,
Kraatz,Kraatz,,1,,
Kracht,Kracht,,1,,
Kraemer,Krämer,,1,,
Krallmann,Krallmann,,1,,
Krannemann,Krannemann,,1,,
Krause,Krause,,1,,
Krekel,Krekel,,1,,
Krenning,Krenning,,1,,
Kreye,Kreye,,1,,
Krietemeier,Krietemeier,,1,,
Krohne,Krohne,,1,,
Kruempfer,Krümpfer,,1,,
Krummholz,Krummholz,,1,,
Krumwiede,Krumwiede,,1,,
Kruse,Kruse,,1,,
Kuech,Küch,,1,,
Kueck,Kück,,1,,
Kuethe,Küthe,,1,,
Kugelan,Kugelan,,1,,
Kuhlenbeck,Kuhlenbeck,,1,,
Kuhn,Kuhn,,1,,
Kummer,Kummer,,1,,
Kumpf,Kumpf,,1,,
Kunz,Kunz,,1,,
Kuper,Kuper,,1,,
Kurz,Kurz,,1,,
Lache,Lache,,1,,
Laetsch,Lätsch,,1,,
Lager,Lager,,1,,
Lambersiek,Lambersiek,,1,,
Lammert,Lammert,,1,,
Lamperich,Lamperich,,1,,
Landwehr,Landwehr,,1,,
Lang,Lang,,1,,
Lang,Lang,,1,,
Langbein,Langbein,,1,,
Lange,Lange,,1,,
Langenbach,Langenbach,,1,,
Langewisch,Langewisch,,1,,
Lauenstein,Lauenstein,,1,,
Lause,Lause,,1,,
Lechtermann,Lechtermann,,1,,
Lehmann,Lehmann,,1,,
Lehne,Lehne,,1,,
Leimkuehler,Leimkühler,,1,,
Leker,Leker,,1,,
Lemp,Lemp,,1,,
Leonhardt,Leonhardt,,1,,
Lewedag,Lewedag,,1,,
Lewilsmuller,Lewilsmuller,,1,,
